relig,cappun,age,educ
protestant,,27.0,5.0
protestant,,41.0,11.0
protestant,,31.0,12.0
protestant,,76.0,8.0
protestant,,26.0,12.0
protestant,,73.0,7.0
protestant,,49.0,8.0
protestant,,72.0,8.0
protestant,,53.0,6.0
protestant,,39.0,10.0
protestant,,31.0,12.0
protestant,,52.0,12.0
protestant,,61.0,8.0
protestant,,85.0,7.0
protestant,,54.0,16.0
protestant,,69.0,10.0
protestant,,65.0,8.0
protestant,,41.0,12.0
protestant,,58.0,8.0
protestant,,57.0,12.0
protestant,,55.0,8.0
protestant,,47.0,12.0
protestant,,60.0,8.0
protestant,,53.0,12.0
protestant,,57.0,12.0
catholic,,28.0,16.0
catholic,,48.0,12.0
catholic,,51.0,14.0
catholic,,33.0,12.0
protestant,,47.0,12.0
catholic,,36.0,12.0
protestant,,19.0,12.0
protestant,,26.0,12.0
none,,25.0,16.0
protestant,,24.0,11.0
protestant,,22.0,15.0
protestant,,25.0,12.0
protestant,,21.0,11.0
protestant,,29.0,13.0
protestant,,26.0,12.0
catholic,,21.0,13.0
protestant,,53.0,13.0
protestant,,44.0,8.0
protestant,,46.0,9.0
protestant,,46.0,14.0
protestant,,60.0,8.0
protestant,,50.0,8.0
protestant,,37.0,11.0
protestant,,76.0,11.0
protestant,,41.0,8.0
protestant,,24.0,12.0
protestant,,33.0,9.0
protestant,,49.0,11.0
protestant,,22.0,9.0
catholic,,67.0,8.0
protestant,,74.0,9.0
none,,37.0,12.0
protestant,,45.0,9.0
protestant,,59.0,8.0
catholic,,65.0,12.0
catholic,,67.0,8.0
catholic,,66.0,8.0
catholic,,28.0,16.0
catholic,,37.0,13.0
protestant,,72.0,16.0
catholic,,22.0,15.0
protestant,,60.0,13.0
protestant,,60.0,10.0
protestant,,35.0,10.0
protestant,,60.0,12.0
protestant,,79.0,16.0
protestant,,45.0,10.0
protestant,,65.0,8.0
other,,45.0,12.0
protestant,,65.0,12.0
catholic,,22.0,14.0
catholic,,60.0,12.0
catholic,,38.0,16.0
none,,29.0,12.0
catholic,,26.0,12.0
protestant,,81.0,12.0
protestant,,61.0,8.0
protestant,,71.0,9.0
catholic,,26.0,13.0
protestant,,70.0,9.0
protestant,,34.0,12.0
catholic,,48.0,11.0
protestant,,23.0,12.0
protestant,,60.0,10.0
protestant,,33.0,9.0
protestant,,52.0,10.0
protestant,,55.0,8.0
protestant,,21.0,10.0
catholic,,26.0,12.0
protestant,,77.0,10.0
protestant,,69.0,8.0
none,,25.0,18.0
protestant,,43.0,12.0
protestant,,77.0,5.0
protestant,,65.0,9.0
protestant,,31.0,9.0
protestant,,65.0,8.0
protestant,,58.0,11.0
protestant,,63.0,12.0
protestant,,74.0,16.0
protestant,,20.0,14.0
protestant,,42.0,12.0
none,,20.0,12.0
protestant,,53.0,12.0
protestant,,40.0,12.0
none,,53.0,8.0
none,,35.0,15.0
protestant,,20.0,12.0
catholic,,69.0,12.0
protestant,,60.0,12.0
catholic,,45.0,12.0
catholic,,43.0,13.0
other,,72.0,9.0
protestant,,28.0,16.0
protestant,,35.0,12.0
none,,43.0,19.0
jewish,,51.0,14.0
other,,45.0,11.0
jewish,,65.0,15.0
none,,48.0,15.0
none,,47.0,19.0
protestant,,30.0,16.0
catholic,,45.0,16.0
jewish,,20.0,13.0
protestant,,29.0,12.0
protestant,,54.0,14.0
protestant,,22.0,9.0
protestant,,48.0,9.0
protestant,,32.0,12.0
protestant,,45.0,12.0
protestant,,46.0,11.0
protestant,,60.0,5.0
catholic,,60.0,11.0
protestant,,76.0,7.0
protestant,,31.0,12.0
protestant,,45.0,10.0
protestant,,20.0,14.0
protestant,,36.0,20.0
protestant,,56.0,6.0
protestant,,22.0,12.0
protestant,,29.0,13.0
protestant,,45.0,12.0
protestant,,44.0,14.0
jewish,,45.0,16.0
protestant,,49.0,14.0
protestant,,82.0,9.0
protestant,,33.0,13.0
protestant,,43.0,13.0
protestant,,38.0,14.0
protestant,,51.0,16.0
protestant,,26.0,14.0
protestant,,19.0,11.0
protestant,,33.0,16.0
protestant,,57.0,16.0
protestant,,46.0,8.0
catholic,,46.0,12.0
protestant,,80.0,6.0
protestant,,55.0,10.0
protestant,,29.0,16.0
protestant,,29.0,10.0
protestant,,82.0,8.0
catholic,,66.0,3.0
protestant,,68.0,8.0
protestant,,47.0,10.0
catholic,,44.0,14.0
catholic,,29.0,12.0
protestant,,53.0,16.0
protestant,,49.0,12.0
protestant,,25.0,12.0
protestant,,31.0,16.0
catholic,,29.0,16.0
catholic,,21.0,8.0
catholic,,25.0,10.0
catholic,,25.0,12.0
catholic,,21.0,12.0
catholic,,27.0,8.0
catholic,,41.0,12.0
catholic,,58.0,12.0
catholic,,46.0,12.0
catholic,,30.0,12.0
protestant,,81.0,8.0
protestant,,21.0,12.0
protestant,,31.0,12.0
protestant,,49.0,8.0
protestant,,64.0,4.0
protestant,,75.0,7.0
protestant,,30.0,11.0
protestant,,19.0,12.0
catholic,,59.0,10.0
catholic,,71.0,5.0
catholic,,73.0,6.0
catholic,,19.0,13.0
catholic,,54.0,3.0
catholic,,56.0,12.0
catholic,,54.0,9.0
catholic,,32.0,13.0
protestant,,63.0,12.0
protestant,,48.0,12.0
protestant,,22.0,15.0
protestant,,70.0,14.0
protestant,,64.0,12.0
none,,23.0,10.0
protestant,,59.0,8.0
other,,43.0,12.0
none,,59.0,10.0
protestant,,21.0,11.0
protestant,,33.0,12.0
catholic,,47.0,12.0
protestant,,40.0,12.0
